Data Year,Utility Number,Utility Name,State,BA Code,Commercial Annual Savings (MWh),Industrial Annual Savings (MWh),Total Annual Savings (MWh),Commercial Peak Demand Annual Savings (MW),Industrial Peak Demand Annual Savings (MW),Total Peak Demand Annual Savings (MW),Commercial Cum Savings (MWh),Industrial Cum Savings (MWh),Total Cum Savings (MWh),Commercial Cum Peak Demand Savings (MWh),Industrial Cum Peak Demand Savings (MWh),Total Cum Peak Demand Savings (MWh),Commercial Annual Incent Cost (Thousand $),Industrial Annual Incent Cost (Thousand $),Total Annual Incent Cost (Thousand $),Commercial Non-Incentive Annual Costs (Thousand $),Industrial Non-Incentive Annual Costs (Thousand $),Total Non-Incentive Annual Costs (Thousand $),Commercial Incentive Cum Costs (Thousand $),Industrial Incentive Cum Costs (Thousand $),Total Incentive Cum Costs (Thousand $),Commercial Non-Incentive Cum Costs (Thousand $),Industrial Non-Incentive Cum Costs (Thousand $),Total Non-Incentive Cum Costs (Thousand $),Commercial Weighted Avg Life (Yrs),Industrial Weighted Avg Life (Yrs)
2023,13441,New Hampshire Elec Coop Inc,NH,ISNE,"3,744",.,"5,489",0.5,.,0.7,"42,508",.,"68,790",0.5,.,0.7,959,.,"3,294",332,.,956,959,.,"3,294",332,.,956,11.350,.
2023,13478,"Entergy New Orleans, LLC",LA,MISO,"26,473","1,010","69,212",3.9,0.1,11.6,"355,803","14,299","607,510",3.9,0.1,11.6,"2,873",106,"8,497","4,763",175,"8,339","2,873",106,"8,497","4,763",175,"8,339",13.968,14.156
2023,13511,New York State Elec & Gas Corp,NY,NYIS,"47,803",.,"150,407",7.9,.,19.5,"596,770",.,"1,750,878",7.9,.,19.5,"8,926",.,"31,026","1,583",.,"6,946","8,926",.,"31,026","1,583",.,"6,946",15.000,.
2023,13519,City of Newark - (DE),DE,PJM,620,.,728,.,.,.,"9,003",.,"9,782",.,.,.,31,.,36,.,.,.,700,.,775,.,.,.,10.000,0.000
2023,13573,Niagara Mohawk Power Corp.,NY,NYIS,"109,658","67,210","349,037",23.1,14.2,38.5,"1,318,708","808,240","3,138,105",23.1,14.2,38.5,"21,844","13,388","58,848","3,490","2,139","10,489","21,844","13,388","58,848","3,490","2,139","10,489",12.000,12.000
2023,13630,North Carolina Mun Power Agny #1,NC,DUK,987,281,"1,745",0.5,0.4,1.1,"9,740","3,739","18,048",0.5,0.4,1.0,154,63,279,37,29,179,154,63,279,37,29,179,9.872,13.293
2023,13664,Norris Public Power District,NE,SWPP,927,142,"1,853",0.1,0.0,0.3,"10,203","1,277","24,104",0.1,0.0,0.3,55,11,359,47,3,90,55,11,359,47,3,90,11.009,9.014
2023,13676,"North Arkansas Elec Coop, Inc",AR,MISO,.,.,182,.,.,0.2,.,.,"3,318",.,.,0.2,.,.,.,.,.,"1,048",.,.,.,.,.,"7,792",.,.
2023,13687,North Carolina Eastern M P A,NC,CPLE,60,20,502,0.2,0.1,0.5,180,60,"3,557",0.1,0.1,0.4,0,0,14,40,2,180,0,0,14,40,2,180,3.000,3.000
2023,13725,City of North Platte,NE,SWPP,131,0,233,0.0,0.0,0.1,"1,446",0,"2,321",0.0,0.0,0.1,7,.,33,5,.,9,7,.,33,5,.,9,11.000,.
2023,13756,Northern Indiana Pub Serv Co,IN,MISO,"76,272",.,"113,908",9.5,.,45.2,"1,056,254",.,"1,249,456",6.4,.,9.9,"8,119",.,"11,846","3,351",.,"7,213","8,119",.,"11,846","3,351",.,"7,213",13.848,.
2023,13780,Northern States Power Co,MI,MISO,163,.,"1,599",0.1,.,0.1,"2,078",.,"14,858",0.1,.,0.1,36,.,205,76,.,171,36,.,205,76,.,171,12.750,.
2023,13780,Northern States Power Co,WI,MISO,.,.,.,.,.,.,.,.,.,.,.,.,529,.,"1,178",636,.,759,529,.,"1,178",636,.,759,.,.
2023,13781,Northern States Power Co - Minnesota,MN,MISO,"256,535","47,802","635,203",46.5,7.6,110.3,"4,588,350","807,794","11,207,075",46.5,7.6,110.3,"28,000","5,593","51,472","17,445","10,989","42,847","28,000","5,593","51,472","17,445","10,989","42,847",17.886,16.899
2023,13781,Northern States Power Co - Minnesota,SD,MISO,"1,609",.,"6,535",0.4,.,4.3,"22,525",.,"86,563",0.4,.,4.3,118,.,250,33,.,95,118,.,250,33,.,95,14.000,.
2023,13788,Northern Wasco County PUD,OR,BPAT,355,473,"1,429",0.1,0.1,0.3,"5,468","18,928","32,170",1.0,0.1,1.2,82,118,639,0,0,0,82,118,639,0,0,0,15.420,10.000
2023,13798,Northwest Iowa Power Coop,IA,SWPP,"1,686",.,"4,692",0.3,.,0.5,"27,568",.,"91,249",0.2,.,0.4,384,.,"1,582",.,.,.,384,.,"1,582",.,.,.,15.000,.
2023,13839,City of Norwood - (MA),MA,ISNE,308,183,552,0.0,0.0,0.0,"3,078","1,826","4,966",0.0,0.0,0.0,146,16,560,16,1,152,"1,455",160,"2,014",160,7,302,10.000,10.000
2023,13936,Oakdale Electric Coop,WI,MISO,0,775,999,0.0,0.0,0.1,0,"10,269","15,941",0.0,0.0,0.1,0,7,48,0,0,43,0,7,48,0,0,43,0.000,13.250
