Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2023,3287,"Central Valley Elec Coop, Inc",NM,SWPP,110,0,79,0,189,0.0,0.0,0.0,0.0,0.0,118,0,79,0,198,0.0,0.0,0.0,0.0,0.0,2,0,30,0,32,114,0,0,0,114,2,0,30,0,32,114,0,0,0,114,1.070,0.000,1.000,0.000,
2023,3295,City of Centralia - (WA),WA,BPAT,32,90,387,.,509,0.0,0.0,0.1,.,0.1,472,"1,086","4,648",.,"6,206",0.0,0.0,0.1,.,0.1,14,21,74,.,109,.,.,.,.,.,14,21,74,.,109,.,.,.,.,.,14.790,12.000,12.000,.,
2023,3400,City of Chaska - (MN),MN,MISO,504,"2,111",867,.,"3,482",0.2,0.3,0.2,.,0.7,"5,036","21,109","8,673",.,"34,819",0.2,0.3,0.2,.,0.7,105,62,24,.,191,17,70,29,.,115,105,62,24,.,191,17,70,29,.,115,10.000,10.000,10.000,.,
2023,3413,PUD No 1 of Chelan County,WA,CHPD,"2,210","8,059","3,246",.,"13,515",1.0,1.8,0.6,.,3.5,"98,427","185,805","165,195",.,"449,427",1.0,1.8,0.6,.,3.5,"1,747","3,883",208,.,"5,838",380,411,23,.,814,"1,747","3,883",208,.,"5,838",380,411,23,.,814,16.650,13.310,12.350,.,
2023,3461,Cheyenne Light Fuel & Power,WY,WACM,65,"2,148",.,.,"2,213",0.0,0.7,.,.,0.7,980,"32,215",.,.,"33,196",0.0,0.7,.,.,0.7,30,343,.,.,373,81,226,.,.,307,30,343,.,.,373,81,226,.,.,307,15.000,15.000,.,.,WY PSC
2023,3477,City of Chicopee - (MA),MA,ISNE,154,864,200,.,"1,218",0.0,0.2,0.0,.,0.3,"1,539","12,963","3,003",.,"17,505",0.0,0.2,0.0,.,0.3,179,162,33,.,373,106,64,13,.,183,179,162,33,.,373,106,64,13,.,183,10.000,15.000,15.000,.,
2023,3502,"Choctawhatche Elec Coop, Inc",FL,SOCO,65,0,0,0,65,0.0,0.0,0.0,0.0,0.0,982,0,0,0,982,0.0,0.0,0.0,0.0,0.0,16,0,0,0,16,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,15.000,0.000,0.000,0.000,
2023,3644,PUD No 1 of Clallam County,WA,BPAT,547,325,0,.,872,0.2,0.0,0.0,.,0.2,"9,099","4,176",0,.,"13,276",0.2,0.0,0.0,.,0.2,323,177,0,.,500,203,37,0,.,240,323,177,0,.,500,203,37,0,.,240,16.647,12.848,.,.,
2023,3660,PUD No 1 of Clark County - (WA),WA,BPAT,"27,778","9,688","15,810",0,"53,276",5.7,2.0,3.2,0.0,10.9,"83,334","116,256","189,720",0,"389,310",5.7,2.0,3.2,0.0,10.9,"2,093","2,213","2,983",0,"7,289","1,009",90,0,0,"1,099","2,093","2,213","2,983",0,"7,289","1,009",90,0,0,"1,099",3.000,12.000,12.000,0.000,https://www.commerce.wa.gov/growing-the-economy/energy/energy-independence-act/eia-reporting/
2023,3755,Cleveland Electric Illum Co,OH,PJM,"6,500","4,306",566,0,"11,372",1.8,0.7,0.1,0.0,2.6,"63,951","33,833","6,779",0,"104,563",1.8,0.7,0.1,0.0,2.6,"3,771",257,22,0,"4,050","1,691",193,93,0,"1,977","3,771",257,22,0,"4,050","1,691",193,93,0,"1,977",9.838,7.857,11.973,0.000,https://dis.puc.state.oh.us/
2023,3828,Cloverland Electric Co-op,MI,MISO,873,"1,336",0,0,"2,209",0.1,0.2,0.0,0.0,0.2,"9,836","19,173",0,0,"29,009",0.1,0.2,0.0,0.0,0.2,334,96,0,0,429,265,128,0,0,393,334,96,0,0,429,265,128,0,0,393,11.260,14.350,0.000,0.000,
2023,3841,Coast Electric Power Assn - (MS),MS,SOCO,"3,663",36,0,0,"3,698",0.8,0.0,0.0,0.0,0.8,"19,886",536,0,0,"20,422",0.8,0.0,0.0,0.0,0.8,289,7,0,0,296,3,0,0,0,3,289,7,0,0,296,3,0,0,0,3,5.430,15.000,0.000,0.000,
2023,3915,Coldwater Board of Public Util,MI,MISO,93,266,"1,209",0,"1,568",0.1,0.6,2.8,0.0,3.5,93,266,"1,209",0,"1,568",0.1,0.6,2.8,0.0,3.5,3,23,51,0,77,2,4,4,0,10,3,23,51,0,77,2,4,4,0,10,1.000,1.000,1.000,0.000,
2023,3940,City of College Station - (TX),TX,ERCO,616,0,.,.,616,0.4,0.0,.,.,0.4,"8,000",0,.,.,"8,000",0.4,0.0,.,.,0.4,196,0,.,.,196,122,0,.,.,122,196,0,.,.,196,122,0,.,.,122,13.000,0.000,.,.,
2023,3989,City of Colorado Springs - (CO),CO,WACM,149,990,0,0,"1,139",0.0,0.5,0.0,0.0,0.5,"1,942","14,844",0,0,"16,786",0.0,0.5,0.0,0.0,0.5,8,231,0,0,239,140,742,0,0,881,8,231,0,0,239,140,742,0,0,881,13.000,15.000,0.000,.,
2023,4003,City of Colton - (CA),CA,CISO,"4,033",31,0,0,"4,064",1.6,0.0,0.0,0.0,1.6,"92,443",542,0,0,"92,985",1.6,0.0,0.0,0.0,1.6,0,0,0,0,0,738,257,0,0,995,0,0,0,0,0,738,257,0,0,995,23.828,18.610,0.000,0.000,www.coltononline.com 
2023,4041,"Columbia Rural Elec Assn, Inc",WA,BPAT,331,285,"1,676",.,"2,292",0.1,0.1,0.3,.,0.4,"4,351","5,739","16,981",.,"27,071",0.1,0.1,0.3,.,0.4,79,87,323,.,489,.,.,.,.,.,79,87,323,.,489,.,.,.,.,.,13.150,20.210,10.130,.,
2023,4045,City of Columbia - (MO),MO,MISO,716,"1,828",.,.,"2,544",0.3,0.3,.,.,0.6,"15,036","27,420",.,.,"42,456",0.3,0.3,.,.,0.6,267,104,.,.,371,180,120,.,.,300,267,104,.,.,371,180,120,.,.,300,21.000,15.000,.,.,www.como.gov
2023,4110,Commonwealth Edison Co,IL,PJM,"954,566","756,720",.,.,"1,711,286",86.0,130.0,.,.,216.0,"10,630,939","9,244,884",.,.,"19,875,823",86.0,130.0,.,.,216.0,"92,732","180,076",.,.,"272,808","52,813","54,751",.,.,"107,565","92,732","180,076",.,.,"272,808","52,813","54,751",.,.,"107,565",11.110,12.380,.,.,
2023,4176,Connecticut Light & Power Co,CT,ISNE,"12,835","153,395","45,819",.,"212,049",6.0,26.0,7.8,.,39.8,"127,901","1,209,307","361,222",.,"1,698,430",6.0,26.0,7.8,.,39.8,"78,988","37,990","11,348",.,"128,326","7,903","14,032","3,594",.,"25,529","78,988","37,990","11,348",.,"128,326","7,903","14,032","3,594",.,"25,529",9.965,7.884,7.884,.,http://www.ctenergydashboard.com
