,City,State,Total Generation Rank,Electric Generation Rank,Commercial Generation Rank,Capacity Growth Status,CAIDI w/ Major Events,CAIDI w/o Major Events,SAIFI Major Events,Utility Annual Energy Savings (MWh),Utility Peak Demand Savings (MW),Utility Annual Incentive Cost ($),Utility Commercial Avg Life (Yrs),Regional Electricity Demand,IXP_Count,Total MWh Rank,Purchased Rank,County,Gigabit_Fiber_Coverage,Business_Density,Suitability
336,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
337,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
338,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
339,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
340,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
341,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
342,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
343,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
344,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
345,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
346,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
347,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
348,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
349,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
350,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
351,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
352,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
353,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
354,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
355,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
356,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
357,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
358,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
359,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
360,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
361,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
362,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
363,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
364,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
365,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
366,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
367,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
368,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
369,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
370,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
371,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
372,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
373,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
374,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
375,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
376,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,High,High,High,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
377,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
378,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
379,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
380,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
381,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
382,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
383,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
384,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
385,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
386,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
387,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
388,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
389,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
390,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
391,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
392,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
393,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
394,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
395,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
396,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
397,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
398,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
399,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
400,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
401,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
402,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
403,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
404,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
405,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
406,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
407,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
408,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
409,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
410,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
411,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
412,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
413,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
414,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
415,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
416,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
417,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
418,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
419,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
420,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
421,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
422,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
423,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
424,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
425,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
426,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
427,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
428,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
429,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
430,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
431,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
432,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
433,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
434,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
435,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
436,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
437,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
438,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
439,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
440,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
441,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
442,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
443,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
444,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
445,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
446,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
447,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
448,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
449,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
450,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
451,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
452,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
453,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
454,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
455,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
456,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
457,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
458,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
459,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
460,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
461,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
462,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
463,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
464,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
465,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
466,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
467,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
468,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
469,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
470,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
471,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
472,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
473,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
474,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
475,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
476,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
477,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
478,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
479,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
480,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
481,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
482,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
483,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
484,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
485,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
486,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
487,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
488,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
489,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
490,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
491,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
492,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
493,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
494,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
495,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
496,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
497,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Moderate,Moderate,High,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
498,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Moderate,Moderate,High,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
